,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Great Horned Owl,Bubo virginianus,2020-09-26 20:55,UAF Forest Trails,1,64.8715445,-147.8497124,2020
1,Gadwall,Mareca strepera,2020-09-26 19:43,"New Seward Hwy, Anchorage US-AK 61.06948, -149.82417",1,61.069479,-149.82417,2020
2,Mallard,Anas platyrhynchos,2020-09-26 19:43,"New Seward Hwy, Anchorage US-AK 61.06948, -149.82417",23,61.069479,-149.82417,2020
3,Cackling Goose,Branta hutchinsii,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",9,60.4605703,-145.9506475,2020
4,Canada Goose,Branta canadensis,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",700,60.4605703,-145.9506475,2020
5,Green-winged Teal,Anas crecca,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",150,60.4605703,-145.9506475,2020
6,Common Merganser,Mergus merganser,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",10,60.4605703,-145.9506475,2020
7,Wilson's Snipe,Gallinago delicata,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
8,Double-crested Cormorant,Phalacrocorax auritus,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",4,60.4605703,-145.9506475,2020
9,Great Blue Heron,Ardea herodias,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
10,Sharp-shinned Hawk,Accipiter striatus,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
11,Bald Eagle,Haliaeetus leucocephalus,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",4,60.4605703,-145.9506475,2020
12,Belted Kingfisher,Megaceryle alcyon,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
13,Steller's Jay,Cyanocitta stelleri,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",2,60.4605703,-145.9506475,2020
14,Black-billed Magpie,Pica hudsonia,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",2,60.4605703,-145.9506475,2020
15,Common Raven,Corvus corax,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
16,Chestnut-backed Chickadee,Poecile rufescens,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
17,Golden-crowned Kinglet,Regulus satrapa,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
18,Ruby-crowned Kinglet,Regulus calendula,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
19,Pacific Wren,Troglodytes pacificus,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
20,Varied Thrush,Ixoreus naevius,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",3,60.4605703,-145.9506475,2020
21,Pine Siskin,Spinus pinus,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
22,Savannah Sparrow,Passerculus sandwichensis,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
23,Song Sparrow,Melospiza melodia,2020-09-26 19:03,"Cordova, Alaska, US (60.461, -145.951) Goose Cove, Whitshed",1,60.4605703,-145.9506475,2020
24,Rock Pigeon,Columba livia,2020-09-26 18:45,Kenai--Tarbox Wildlife Viewing Platform,3,60.5420341,-151.2194681,2020
25,Herring Gull,Larus argentatus,2020-09-26 18:45,Kenai--Tarbox Wildlife Viewing Platform,1500,60.5420341,-151.2194681,2020
26,Northern Harrier,Circus hudsonius,2020-09-26 18:45,Kenai--Tarbox Wildlife Viewing Platform,2,60.5420341,-151.2194681,2020
27,Peregrine Falcon,Falco peregrinus,2020-09-26 18:45,Kenai--Tarbox Wildlife Viewing Platform,1,60.5420341,-151.2194681,2020
28,Greater Scaup,Aythya marila,2020-09-26 18:15,Peat Ponds,5,64.9115163,-147.9348135,2020
29,Trumpeter Swan,Cygnus buccinator,2020-09-26 18:08,"New Seward Hwy, Anchorage US-AK 61.05955, -149.80484",1,61.059552,-149.804838,2020
30,Ring-necked Duck,Aythya collaris,2020-09-26 18:08,"New Seward Hwy, Anchorage US-AK 61.05955, -149.80484",6,61.059552,-149.804838,2020
31,Red-necked Grebe,Podiceps grisegena,2020-09-26 18:08,"New Seward Hwy, Anchorage US-AK 61.05955, -149.80484",1,61.059552,-149.804838,2020
32,duck sp.,Anatinae sp.,2020-09-26 17:45,Tanana Lakes Recreation Area,1,64.7966492,-147.7180481,2020
33,Merlin,Falco columbarius,2020-09-26 17:45,Tanana Lakes Recreation Area,1,64.7966492,-147.7180481,2020
34,Canada Jay,Perisoreus canadensis,2020-09-26 17:45,Tanana Lakes Recreation Area,2,64.7966492,-147.7180481,2020
35,American Robin,Turdus migratorius,2020-09-26 17:45,Tanana Lakes Recreation Area,5,64.7966492,-147.7180481,2020
36,Sharp-tailed Sandpiper,Calidris acuminata,2020-09-26 17:30,Kodiak Is.--Kalsin Pond and Olds River Estuary,1,57.584638,-152.4485207,2020
37,Dunlin,Calidris alpina,2020-09-26 17:30,Kodiak Is.--Kalsin Pond and Olds River Estuary,1,57.584638,-152.4485207,2020
38,Pectoral Sandpiper,Calidris melanotos,2020-09-26 17:30,Kodiak Is.--Kalsin Pond and Olds River Estuary,35,57.584638,-152.4485207,2020
39,Long-billed Dowitcher,Limnodromus scolopaceus,2020-09-26 17:30,Kodiak Is.--Kalsin Pond and Olds River Estuary,1,57.584638,-152.4485207,2020
40,Black-legged Kittiwake,Rissa tridactyla,2020-09-26 17:30,Kodiak Is.--Kalsin Pond and Olds River Estuary,25,57.584638,-152.4485207,2020
41,Lapland Longspur,Calcarius lapponicus,2020-09-26 17:30,Kodiak Is.--Kalsin Pond and Olds River Estuary,3,57.584638,-152.4485207,2020
42,American Three-toed Woodpecker,Picoides dorsalis,2020-09-26 17:20,Yard-Buoy Avenue,2,60.4943437,-151.2669325,2020
43,Black-backed Woodpecker,Picoides arcticus,2020-09-26 17:20,Yard-Buoy Avenue,2,60.4943437,-151.2669325,2020
44,Downy Woodpecker,Dryobates pubescens,2020-09-26 17:20,Yard-Buoy Avenue,4,60.4943437,-151.2669325,2020
45,Hairy Woodpecker,Dryobates villosus,2020-09-26 17:20,Yard-Buoy Avenue,1,60.4943437,-151.2669325,2020
46,Boreal Chickadee,Poecile hudsonicus,2020-09-26 17:20,Yard-Buoy Avenue,1,60.4943437,-151.2669325,2020
47,Red-breasted Nuthatch,Sitta canadensis,2020-09-26 17:20,Yard-Buoy Avenue,4,60.4943437,-151.2669325,2020
48,White-winged Crossbill,Loxia leucoptera,2020-09-26 17:20,Yard-Buoy Avenue,1,60.4943437,-151.2669325,2020
49,Snow Goose,Anser caerulescens,2020-09-26 17:15,Gustavus--Forelands,40,58.4121436,-135.724411,2020
50,Black-capped Chickadee,Poecile atricapillus,2020-09-26 17:14,Chena Lake RA (North Pole),3,64.7706866,-147.2272682,2020
51,Dark-eyed Junco,Junco hyemalis,2020-09-26 17:14,Chena Lake RA (North Pole),3,64.7706866,-147.2272682,2020
52,Northern Flicker,Colaptes auratus,2020-09-26 17:06,Ketchikan Airport Perimeter (Gravina Island),2,55.3612831,-131.7197227,2020
53,White-crowned Sparrow,Zonotrichia leucophrys,2020-09-26 17:06,Ketchikan Airport Perimeter (Gravina Island),2,55.3612831,-131.7197227,2020
54,Lincoln's Sparrow,Melospiza lincolnii,2020-09-26 17:06,Ketchikan Airport Perimeter (Gravina Island),1,55.3612831,-131.7197227,2020
55,Spruce Grouse,Falcipennis canadensis,2020-09-26 17:04,Yoder bridge,1,62.1805971,-149.9630027,2020
56,Brown Creeper,Certhia americana,2020-09-26 17:00,Campbell Creek Trail (general),1,61.1561445,-149.8745119,2020
57,Wilson's Warbler,Cardellina pusilla,2020-09-26 17:00,Campbell Creek Trail (general),1,61.1561445,-149.8745119,2020
58,Harlequin Duck,Histrionicus histrionicus,2020-09-26 16:36,Kachemak Bay--Hesketh Island,6,59.5035802,-151.5270853,2020
59,Common Loon,Gavia immer,2020-09-26 16:36,Kachemak Bay--Hesketh Island,2,59.5035802,-151.5270853,2020
60,Pelagic Cormorant,Phalacrocorax pelagicus,2020-09-26 16:36,Kachemak Bay--Hesketh Island,1,59.5035802,-151.5270853,2020
61,Northwestern Crow,Corvus caurinus,2020-09-26 16:36,Kachemak Bay--Hesketh Island,25,59.5035802,-151.5270853,2020
62,Pine Grosbeak,Pinicola enucleator,2020-09-26 16:36,Kachemak Bay--Hesketh Island,1,59.5035802,-151.5270853,2020
63,White-winged Scoter,Melanitta deglandi,2020-09-26 16:15,Kodiak Is.--Burton's Beach,47,57.4614804,-152.3247099,2020
64,Horned Grebe,Podiceps auritus,2020-09-26 16:15,Kodiak Is.--Burton's Beach,14,57.4614804,-152.3247099,2020
65,Common Murre,Uria aalge,2020-09-26 16:15,Kodiak Is.--Burton's Beach,2,57.4614804,-152.3247099,2020
66,Pigeon Guillemot,Cepphus columba,2020-09-26 16:15,Kodiak Is.--Burton's Beach,7,57.4614804,-152.3247099,2020
67,Horned Puffin,Fratercula corniculata,2020-09-26 16:15,Kodiak Is.--Burton's Beach,8,57.4614804,-152.3247099,2020
68,Pacific Loon,Gavia pacifica,2020-09-26 16:15,Kodiak Is.--Burton's Beach,6,57.4614804,-152.3247099,2020
69,Hermit Thrush,Catharus guttatus,2020-09-26 16:13,Kodiak Is.--Lake Orbin and Bells Flats,1,57.7107961,-152.5849915,2020
70,Fox Sparrow,Passerella iliaca,2020-09-26 16:13,Kodiak Is.--Lake Orbin and Bells Flats,3,57.7107961,-152.5849915,2020
71,Bonaparte's Gull,Chroicocephalus philadelphia,2020-09-26 16:07,Ferry Terminal Viewing Pier,1,56.8068027,-132.9749941,2020
72,Iceland Gull,Larus glaucoides,2020-09-26 16:07,Ferry Terminal Viewing Pier,1,56.8068027,-132.9749941,2020
73,gull sp.,Larinae sp.,2020-09-26 16:07,Ferry Terminal Viewing Pier,66,56.8068027,-132.9749941,2020
74,Golden-crowned Sparrow,Zonotrichia atricapilla,2020-09-26 16:07,Ferry Terminal Viewing Pier,2,56.8068027,-132.9749941,2020
