,Common Name,Scientific Name,Date Sited,Location Name,Num Sighted,Latitude,Longitude,year
0,Northern Saw-whet Owl,Aegolius acadicus,2020-09-26 23:58,Del Norte Coast Redwoods SP--Mill Creek Campground,1,41.6988261,-124.0947294,2020
1,Swainson's Thrush,Catharus ustulatus,2020-09-26 23:52,"Del Norte Coast Redwoods State Park, Crescent City US-CA 41.69998, -124.12010",1,41.699979,-124.120103,2020
2,Great Horned Owl,Bubo virginianus,2020-09-26 23:02,Stradella Rd home,1,34.112628,-118.462977,2020
3,Barn Swallow,Hirundo rustica,2020-09-26 23:00,Lazy Diamond Nursery,1,41.8809367,-124.1788101,2020
4,Barn Owl,Tyto alba,2020-09-26 22:20,back yard,1,33.2565852,-116.9965598,2020
5,Mallard,Anas platyrhynchos,2020-09-26 21:26,Home,2,38.3776439,-121.6026565,2020
6,Ring-necked Pheasant,Phasianus colchicus,2020-09-26 21:26,Home,3,38.3776439,-121.6026565,2020
7,Rock Pigeon,Columba livia,2020-09-26 21:26,Home,100,38.3776439,-121.6026565,2020
8,Eurasian Collared-Dove,Streptopelia decaocto,2020-09-26 21:26,Home,2,38.3776439,-121.6026565,2020
9,Mourning Dove,Zenaida macroura,2020-09-26 21:26,Home,2,38.3776439,-121.6026565,2020
10,Anna's Hummingbird,Calypte anna,2020-09-26 21:26,Home,3,38.3776439,-121.6026565,2020
11,Sandhill Crane,Antigone canadensis,2020-09-26 21:26,Home,5,38.3776439,-121.6026565,2020
12,Killdeer,Charadrius vociferus,2020-09-26 21:26,Home,2,38.3776439,-121.6026565,2020
13,Great Blue Heron,Ardea herodias,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
14,Great Egret,Ardea alba,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
15,Turkey Vulture,Cathartes aura,2020-09-26 21:26,Home,2,38.3776439,-121.6026565,2020
16,Northern Harrier,Circus hudsonius,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
17,Cooper's Hawk,Accipiter cooperii,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
18,Red-tailed Hawk,Buteo jamaicensis,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
19,American Kestrel,Falco sparverius,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
20,Black Phoebe,Sayornis nigricans,2020-09-26 21:26,Home,2,38.3776439,-121.6026565,2020
21,Say's Phoebe,Sayornis saya,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
22,Loggerhead Shrike,Lanius ludovicianus,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
23,American Crow,Corvus brachyrhynchos,2020-09-26 21:26,Home,2,38.3776439,-121.6026565,2020
24,Tree Swallow,Tachycineta bicolor,2020-09-26 21:26,Home,70,38.3776439,-121.6026565,2020
25,Ruby-crowned Kinglet,Regulus calendula,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
26,Marsh Wren,Cistothorus palustris,2020-09-26 21:26,Home,2,38.3776439,-121.6026565,2020
27,European Starling,Sturnus vulgaris,2020-09-26 21:26,Home,170,38.3776439,-121.6026565,2020
28,Northern Mockingbird,Mimus polyglottos,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
29,House Finch,Haemorhous mexicanus,2020-09-26 21:26,Home,12,38.3776439,-121.6026565,2020
30,American Goldfinch,Spinus tristis,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
31,White-crowned Sparrow,Zonotrichia leucophrys,2020-09-26 21:26,Home,8,38.3776439,-121.6026565,2020
32,Savannah Sparrow,Passerculus sandwichensis,2020-09-26 21:26,Home,14,38.3776439,-121.6026565,2020
33,Song Sparrow,Melospiza melodia,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
34,Lincoln's Sparrow,Melospiza lincolnii,2020-09-26 21:26,Home,3,38.3776439,-121.6026565,2020
35,Western Meadowlark,Sturnella neglecta,2020-09-26 21:26,Home,2,38.3776439,-121.6026565,2020
36,Red-winged Blackbird,Agelaius phoeniceus,2020-09-26 21:26,Home,40,38.3776439,-121.6026565,2020
37,Brewer's Blackbird,Euphagus cyanocephalus,2020-09-26 21:26,Home,9,38.3776439,-121.6026565,2020
38,Yellow Warbler,Setophaga petechia,2020-09-26 21:26,Home,1,38.3776439,-121.6026565,2020
39,Western Screech-Owl,Megascops kennicottii,2020-09-26 21:00,Sullivan--NFC Station,1,36.479265,-121.721796,2020
40,Grasshopper Sparrow,Ammodramus savannarum,2020-09-26 21:00,Sullivan--NFC Station,1,36.479265,-121.721796,2020
41,Golden-crowned Sparrow,Zonotrichia atricapilla,2020-09-26 21:00,Sullivan--NFC Station,1,36.479265,-121.721796,2020
42,owl sp.,Strigiformes sp.,2020-09-26 20:30,Our backyard,1,32.7734194,-117.0016479,2020
43,Common Poorwill,Phalaenoptilus nuttallii,2020-09-26 19:37,Santa Teresa CP--Stile Entrance,1,37.2040986,-121.8057632,2020
44,Western Bluebird,Sialia mexicana,2020-09-26 19:32,Harvest Inn,4,38.491874,-122.454659,2020
45,Lesser Goldfinch,Spinus psaltria,2020-09-26 19:32,Harvest Inn,10,38.491874,-122.454659,2020
46,Dark-eyed Junco,Junco hyemalis,2020-09-26 19:32,Harvest Inn,4,38.491874,-122.454659,2020
47,California Towhee,Melozone crissalis,2020-09-26 19:32,Harvest Inn,2,38.491874,-122.454659,2020
48,Black-crowned Night-Heron,Nycticorax nycticorax,2020-09-26 19:28,"17932 Lyons Valley Road, Jamul, California",1,32.7149441,-116.7606032,2020
49,Allen's Hummingbird,Selasphorus sasin,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,4,32.9325739,-117.2523218,2020
50,Black-bellied Plover,Pluvialis squatarola,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,1,32.9325739,-117.2523218,2020
51,Semipalmated Plover,Charadrius semipalmatus,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,2,32.9325739,-117.2523218,2020
52,Willet,Tringa semipalmata,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,2,32.9325739,-117.2523218,2020
53,Heermann's Gull,Larus heermanni,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,1,32.9325739,-117.2523218,2020
54,Western Gull,Larus occidentalis,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,30,32.9325739,-117.2523218,2020
55,California Gull,Larus californicus,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,2,32.9325739,-117.2523218,2020
56,Caspian Tern,Hydroprogne caspia,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,4,32.9325739,-117.2523218,2020
57,Royal/Elegant Tern,Thalasseus maximus/elegans,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,1,32.9325739,-117.2523218,2020
58,Double-crested Cormorant,Phalacrocorax auritus,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,3,32.9325739,-117.2523218,2020
59,Brown Pelican,Pelecanus occidentalis,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,1,32.9325739,-117.2523218,2020
60,Snowy Egret,Egretta thula,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,4,32.9325739,-117.2523218,2020
61,Belted Kingfisher,Megaceryle alcyon,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,1,32.9325739,-117.2523218,2020
62,House Wren,Troglodytes aedon,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,1,32.9325739,-117.2523218,2020
63,House Sparrow,Passer domesticus,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,3,32.9325739,-117.2523218,2020
64,Common Yellowthroat,Geothlypis trichas,2020-09-26 19:26,Los Penasquitos Marsh Preserve--Carmel Valley Rd. pullouts,1,32.9325739,-117.2523218,2020
65,Pied-billed Grebe,Podilymbus podiceps,2020-09-26 19:13,Morro Bay SP--Marina/Boardwalk Trail,9,35.3445235,-120.8418006,2020
66,hummingbird sp.,Trochilidae sp.,2020-09-26 19:13,Morro Bay SP--Marina/Boardwalk Trail,2,35.3445235,-120.8418006,2020
67,Long-billed Curlew,Numenius americanus,2020-09-26 19:13,Morro Bay SP--Marina/Boardwalk Trail,3,35.3445235,-120.8418006,2020
68,Marbled Godwit,Limosa fedoa,2020-09-26 19:13,Morro Bay SP--Marina/Boardwalk Trail,8,35.3445235,-120.8418006,2020
69,gull sp.,Larinae sp.,2020-09-26 19:13,Morro Bay SP--Marina/Boardwalk Trail,2,35.3445235,-120.8418006,2020
70,American White Pelican,Pelecanus erythrorhynchos,2020-09-26 19:13,Morro Bay SP--Marina/Boardwalk Trail,12,35.3445235,-120.8418006,2020
71,Canada Goose,Branta canadensis,2020-09-26 19:08,"29475 Pebble Beach Dr, Murrieta US-CA 33.56793, -117.14564",2,33.567933,-117.145637,2020
72,American Coot,Fulica americana,2020-09-26 19:08,"29475 Pebble Beach Dr, Murrieta US-CA 33.56793, -117.14564",5,33.567933,-117.145637,2020
73,Wrentit,Chamaea fasciata,2020-09-26 19:01,Santa Teresa CP--Stile Entrance,2,37.2040986,-121.8057632,2020
