,Common Name,Scientific Name,Date Sited,Location Name,Num Sighted,Latitude,Longitude,year
0,Northern Mockingbird,Mimus polyglottos,2020-09-26 22:02,Home,2,27.0886565,-82.2351605,2020
1,Gray-cheeked Thrush,Catharus minimus,2020-09-26 22:02,Home,3,27.0886565,-82.2351605,2020
2,Swainson's Thrush,Catharus ustulatus,2020-09-26 22:02,Home,6,27.0886565,-82.2351605,2020
3,Northern Cardinal,Cardinalis cardinalis,2020-09-26 22:02,Home,2,27.0886565,-82.2351605,2020
4,Great Horned Owl,Bubo virginianus,2020-09-26 21:23,Casuarina Birding,1,29.819078,-81.307404,2020
5,Mourning Dove,Zenaida macroura,2020-09-26 20:28,"423 Cranes Landing Court, Jacksonville, Florida, US (30.307, -81.583)",1,30.3070419,-81.5830559,2020
6,Ruby-throated Hummingbird,Archilochus colubris,2020-09-26 20:28,"423 Cranes Landing Court, Jacksonville, Florida, US (30.307, -81.583)",1,30.3070419,-81.5830559,2020
7,Downy Woodpecker,Dryobates pubescens,2020-09-26 20:28,"423 Cranes Landing Court, Jacksonville, Florida, US (30.307, -81.583)",1,30.3070419,-81.5830559,2020
8,American Crow,Corvus brachyrhynchos,2020-09-26 20:28,"423 Cranes Landing Court, Jacksonville, Florida, US (30.307, -81.583)",2,30.3070419,-81.5830559,2020
9,Carolina Wren,Thryothorus ludovicianus,2020-09-26 20:28,"423 Cranes Landing Court, Jacksonville, Florida, US (30.307, -81.583)",1,30.3070419,-81.5830559,2020
10,House Finch,Haemorhous mexicanus,2020-09-26 20:28,"423 Cranes Landing Court, Jacksonville, Florida, US (30.307, -81.583)",1,30.3070419,-81.5830559,2020
11,Black-crowned Night-Heron,Nycticorax nycticorax,2020-09-26 20:05,john ringling causeway bridge,4,27.3324717,-82.55575,2020
12,Eastern Screech-Owl,Megascops asio,2020-09-26 19:40,Arbor Blvd,1,26.2407581,-81.7272413,2020
13,Chimney Swift,Chaetura pelagica,2020-09-26 19:26,Robinson/Vanderah House,5,29.4823054,-82.2639419,2020
14,Sora,Porzana carolina,2020-09-26 19:26,Robinson/Vanderah House,2,29.4823054,-82.2639419,2020
15,Barred Owl,Strix varia,2020-09-26 19:26,Robinson/Vanderah House,2,29.4823054,-82.2639419,2020
16,Acadian Flycatcher,Empidonax virescens,2020-09-26 19:26,Robinson/Vanderah House,1,29.4823054,-82.2639419,2020
17,Veery,Catharus fuscescens,2020-09-26 19:26,Robinson/Vanderah House,1,29.4823054,-82.2639419,2020
18,Summer Tanager,Piranga rubra,2020-09-26 19:26,Robinson/Vanderah House,1,29.4823054,-82.2639419,2020
19,Blue Jay,Cyanocitta cristata,2020-09-26 19:15,"107 East Sand Dollar Way, Port St. Joe, Florida, US (29.68, -85.331)",1,29.6799193,-85.3306863,2020
20,Blue-gray Gnatcatcher,Polioptila caerulea,2020-09-26 19:15,"107 East Sand Dollar Way, Port St. Joe, Florida, US (29.68, -85.331)",1,29.6799193,-85.3306863,2020
21,Pied-billed Grebe,Podilymbus podiceps,2020-09-26 19:14,St. Marks NWR--Cedar Point Trail,1,30.0793849,-84.1785121,2020
22,Short-billed Dowitcher,Limnodromus griseus,2020-09-26 19:14,St. Marks NWR--Cedar Point Trail,1,30.0793849,-84.1785121,2020
23,Ring-billed Gull,Larus delawarensis,2020-09-26 19:14,St. Marks NWR--Cedar Point Trail,3,30.0793849,-84.1785121,2020
24,Forster's Tern,Sterna forsteri,2020-09-26 19:14,St. Marks NWR--Cedar Point Trail,1,30.0793849,-84.1785121,2020
25,Brown Pelican,Pelecanus occidentalis,2020-09-26 19:14,St. Marks NWR--Cedar Point Trail,1,30.0793849,-84.1785121,2020
26,Great Blue Heron,Ardea herodias,2020-09-26 19:14,St. Marks NWR--Cedar Point Trail,1,30.0793849,-84.1785121,2020
27,Snowy Egret,Egretta thula,2020-09-26 19:14,St. Marks NWR--Cedar Point Trail,1,30.0793849,-84.1785121,2020
28,Reddish Egret,Egretta rufescens,2020-09-26 19:14,St. Marks NWR--Cedar Point Trail,1,30.0793849,-84.1785121,2020
