,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Spotted Dove,Streptopelia chinensis,2020-09-26 17:38,"73-1222 Loloa Dr, Kailua Kona US-HI 19.72480, -155.97991",2,19.724796,-155.979913,2020
1,Zebra Dove,Geopelia striata,2020-09-26 17:38,"73-1222 Loloa Dr, Kailua Kona US-HI 19.72480, -155.97991",6,19.724796,-155.979913,2020
2,Warbling White-eye,Zosterops japonicus,2020-09-26 17:38,"73-1222 Loloa Dr, Kailua Kona US-HI 19.72480, -155.97991",2,19.724796,-155.979913,2020
3,Common Myna,Acridotheres tristis,2020-09-26 17:38,"73-1222 Loloa Dr, Kailua Kona US-HI 19.72480, -155.97991",4,19.724796,-155.979913,2020
4,House Sparrow,Passer domesticus,2020-09-26 17:38,"73-1222 Loloa Dr, Kailua Kona US-HI 19.72480, -155.97991",1,19.724796,-155.979913,2020
5,House Finch,Haemorhous mexicanus,2020-09-26 17:38,"73-1222 Loloa Dr, Kailua Kona US-HI 19.72480, -155.97991",5,19.724796,-155.979913,2020
6,Yellow-fronted Canary,Crithagra mozambica,2020-09-26 17:38,"73-1222 Loloa Dr, Kailua Kona US-HI 19.72480, -155.97991",1,19.724796,-155.979913,2020
7,Yellow-billed Cardinal,Paroaria capitata,2020-09-26 17:38,"73-1222 Loloa Dr, Kailua Kona US-HI 19.72480, -155.97991",2,19.724796,-155.979913,2020
8,Saffron Finch,Sicalis flaveola,2020-09-26 17:38,"73-1222 Loloa Dr, Kailua Kona US-HI 19.72480, -155.97991",2,19.724796,-155.979913,2020
9,Black-crowned Night-Heron,Nycticorax nycticorax,2020-09-26 16:36,"Marine Corps Air Station Hawaii, Kailua US-HI 21.44891, -157.74352",1,21.448914,-157.743524,2020
10,Hawaiian Goose,Branta sandvicensis,2020-09-26 16:33,"Kahili Point (22.219, -159.387)",2,22.2189121,-159.3869413,2020
11,Red Junglefowl (Domestic type),Gallus gallus (Domestic type),2020-09-26 16:33,"Kahili Point (22.219, -159.387)",2,22.2189121,-159.3869413,2020
12,Pacific Golden-Plover,Pluvialis fulva,2020-09-26 16:33,"Kahili Point (22.219, -159.387)",1,22.2189121,-159.3869413,2020
13,Great Frigatebird,Fregata minor,2020-09-26 16:33,"Kahili Point (22.219, -159.387)",1,22.2189121,-159.3869413,2020
14,Red-footed Booby,Sula sula,2020-09-26 16:33,"Kahili Point (22.219, -159.387)",1,22.2189121,-159.3869413,2020
15,White-rumped Shama,Copsychus malabaricus,2020-09-26 16:33,"Kahili Point (22.219, -159.387)",1,22.2189121,-159.3869413,2020
16,Northern Cardinal,Cardinalis cardinalis,2020-09-26 16:33,"Kahili Point (22.219, -159.387)",1,22.2189121,-159.3869413,2020
17,Hawaiian Coot,Fulica alai,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,28,19.6621002,-156.0179014,2020
18,Black-necked Stilt,Himantopus mexicanus,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,40,19.6621002,-156.0179014,2020
19,Ruddy Turnstone,Arenaria interpres,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,24,19.6621002,-156.0179014,2020
20,Sanderling,Calidris alba,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,5,19.6621002,-156.0179014,2020
21,Long-billed Dowitcher,Limnodromus scolopaceus,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,1,19.6621002,-156.0179014,2020
22,Wandering Tattler,Tringa incana,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,5,19.6621002,-156.0179014,2020
23,Least Tern,Sternula antillarum,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,5,19.6621002,-156.0179014,2020
24,Cattle Egret,Bubulcus ibis,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,3,19.6621002,-156.0179014,2020
25,Common Waxbill,Estrilda astrild,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,12,19.6621002,-156.0179014,2020
26,African Silverbill,Euodice cantans,2020-09-26 16:31,Kealakehe Wastewater Treatment Plant,5,19.6621002,-156.0179014,2020
27,Mallard (Domestic type),Anas platyrhynchos (Domestic type),2020-09-26 16:24,Manoa Valley District Park,2,21.3134044,-157.8076816,2020
28,Rose-ringed Parakeet,Psittacula krameri,2020-09-26 16:24,Manoa Valley District Park,4,21.3134044,-157.8076816,2020
29,Red-vented Bulbul,Pycnonotus cafer,2020-09-26 16:24,Manoa Valley District Park,7,21.3134044,-157.8076816,2020
30,Chestnut Munia,Lonchura atricapilla,2020-09-26 16:24,Manoa Valley District Park,12,21.3134044,-157.8076816,2020
31,Java Sparrow,Lonchura oryzivora,2020-09-26 16:24,Manoa Valley District Park,2,21.3134044,-157.8076816,2020
32,Red-crested Cardinal,Paroaria coronata,2020-09-26 16:24,Manoa Valley District Park,15,21.3134044,-157.8076816,2020
33,White-tailed Tropicbird,Phaethon lepturus,2020-09-26 15:47,"4160 Wailapa Road, Kilauea, Hawaii, US (22.218, -159.386)",2,22.2181145,-159.3861535,2020
34,Pectoral Sandpiper,Calidris melanotos,2020-09-26 15:08,Hamakua Marsh,1,21.3912752,-157.74333,2020
35,Cackling Goose,Branta hutchinsii,2020-09-26 14:58,Kealakehe Wastewater Treatment Plant,1,19.6621002,-156.0179014,2020
36,Red Junglefowl,Gallus gallus,2020-09-26 14:26,Kilauea Overlook - Always Open,1,22.2277391,-159.4012624,2020
37,Rock Pigeon,Columba livia,2020-09-26 14:26,Kilauea Overlook - Always Open,2,22.2277391,-159.4012624,2020
38,Red-tailed Tropicbird,Phaethon rubricauda,2020-09-26 14:26,Kilauea Overlook - Always Open,1,22.2277391,-159.4012624,2020
39,Chinese Hwamei,Garrulax canorus,2020-09-26 14:26,Kilauea Overlook - Always Open,1,22.2277391,-159.4012624,2020
40,Apapane,Himatione sanguinea,2020-09-26 13:54,Hawai'i Volcanoes NP -- Visitor Center and Volcano House,2,19.4295211,-155.2575515,2020
41,Erckel's Francolin,Pternistis erckelii,2020-09-26 11:00,Old Saddle Road and Waiki'i Ranch (mile marker 43 to west end),1,19.8864154,-155.668606,2020
42,Wild Turkey,Meleagris gallopavo,2020-09-26 11:00,Old Saddle Road and Waiki'i Ranch (mile marker 43 to west end),18,19.8864154,-155.668606,2020
43,Short-eared Owl,Asio flammeus,2020-09-26 11:00,Old Saddle Road and Waiki'i Ranch (mile marker 43 to west end),2,19.8864154,-155.668606,2020
44,Eurasian Skylark,Alauda arvensis,2020-09-26 11:00,Old Saddle Road and Waiki'i Ranch (mile marker 43 to west end),3,19.8864154,-155.668606,2020
45,Northern Shoveler,Spatula clypeata,2020-09-26 10:48,Kaloko-Honokohau NHP--Aimakapa Pond,1,19.6771833,-156.0259759,2020
46,Wedge-tailed Shearwater,Ardenna pacifica,2020-09-26 10:48,Kaloko-Honokohau NHP--Aimakapa Pond,2,19.6771833,-156.0259759,2020
47,White Tern,Gygis alba,2020-09-26 09:16,"Manoa Valley District Park, Honolulu US-HI 21.31258, -157.80890",3,21.312584,-157.808897,2020
48,Northern Mockingbird,Mimus polyglottos,2020-09-26 09:12,Kealakehe Wastewater Treatment Plant,2,19.6621002,-156.0179014,2020
49,Black Noddy,Anous minutus,2020-09-26 09:09,"Kalalau Trail, Kapaʻa, Hawaii, US (22.221, -159.583)",3,22.2212007,-159.5830961,2020
50,Brown Booby,Sula leucogaster,2020-09-26 09:09,"Kalalau Trail, Kapaʻa, Hawaii, US (22.221, -159.583)",5,22.2212007,-159.5830961,2020
51,Red-whiskered Bulbul,Pycnonotus jocosus,2020-09-26 08:46,"1214 Mahiole Street, Honolulu, Hawaii, US (21.353, -157.896)",2,21.3529433,-157.895651,2020
