,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Black-crowned Night-Heron,Nycticorax nycticorax,2020-09-22 22:06,Sanganois State Wildlife Area,1,40.125782,-90.30171,2020
1,Great Horned Owl,Bubo virginianus,2020-09-22 21:08,"9310 Wondermere Road, Wonder Lake, Illinois, US (42.388, -88.382)",1,42.3878915,-88.3816573,2020
2,Eastern Screech-Owl,Megascops asio,2020-09-22 20:54,Deerpath Wonder Lake,1,42.3771257,-88.3774481,2020
3,Canada Goose,Branta canadensis,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),53,41.2044033,-87.9828644,2020
4,Mallard,Anas platyrhynchos,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),5,41.2044033,-87.9828644,2020
5,Mourning Dove,Zenaida macroura,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),5,41.2044033,-87.9828644,2020
6,Ruby-throated Hummingbird,Archilochus colubris,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
7,Killdeer,Charadrius vociferus,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),3,41.2044033,-87.9828644,2020
8,Great Blue Heron,Ardea herodias,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
9,Osprey,Pandion haliaetus,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
10,Belted Kingfisher,Megaceryle alcyon,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
11,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),2,41.2044033,-87.9828644,2020
12,Northern Flicker,Colaptes auratus,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
13,woodpecker sp.,Picidae sp.,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),2,41.2044033,-87.9828644,2020
14,diurnal raptor sp.,Accipitriformes/Falconiformes sp.,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
15,Blue Jay,Cyanocitta cristata,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),2,41.2044033,-87.9828644,2020
16,American Crow,Corvus brachyrhynchos,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),3,41.2044033,-87.9828644,2020
17,Black-capped Chickadee,Poecile atricapillus,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),2,41.2044033,-87.9828644,2020
18,Tufted Titmouse,Baeolophus bicolor,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
19,White-breasted Nuthatch,Sitta carolinensis,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),3,41.2044033,-87.9828644,2020
20,House Wren,Troglodytes aedon,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
21,Carolina Wren,Thryothorus ludovicianus,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),2,41.2044033,-87.9828644,2020
22,European Starling,Sturnus vulgaris,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
23,Swainson's Thrush,Catharus ustulatus,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
24,American Robin,Turdus migratorius,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),109,41.2044033,-87.9828644,2020
25,House Sparrow,Passer domesticus,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),3,41.2044033,-87.9828644,2020
26,House Finch,Haemorhous mexicanus,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),2,41.2044033,-87.9828644,2020
27,Common Grackle,Quiscalus quiscula,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),2,41.2044033,-87.9828644,2020
28,Yellow-rumped Warbler,Setophaga coronata,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),1,41.2044033,-87.9828644,2020
29,Northern Cardinal,Cardinalis cardinalis,2020-09-22 19:39,Kankakee River State Park (Kankakee Co.),2,41.2044033,-87.9828644,2020
30,Chimney Swift,Chaetura pelagica,2020-09-22 19:17,Geneva Post Office,1600,41.887167,-88.3084702,2020
31,Common Nighthawk,Chordeiles minor,2020-09-22 19:15,Yankee Ridge Pond And Woods,2,40.0758841,-88.2053504,2020
32,Peregrine Falcon,Falco peregrinus,2020-09-22 18:44,5040-60 N Marine Drive,1,41.9748143,-87.6519835,2020
33,Carolina Chickadee,Poecile carolinensis,2020-09-22 18:43,"4055 Fawn Dr, Marion US-IL 37.65450, -88.93566",3,37.654495,-88.935661,2020
34,American Goldfinch,Spinus tristis,2020-09-22 18:43,"4055 Fawn Dr, Marion US-IL 37.65450, -88.93566",2,37.654495,-88.935661,2020
35,Rose-breasted Grosbeak,Pheucticus ludovicianus,2020-09-22 18:43,"4055 Fawn Dr, Marion US-IL 37.65450, -88.93566",1,37.654495,-88.935661,2020
36,Eastern Kingbird,Tyrannus tyrannus,2020-09-22 18:41,"7 Hickory Ln, Columbia US-IL 38.44889, -90.22581",1,38.448895,-90.225814,2020
37,Virginia Rail,Rallus limicola,2020-09-22 18:39,"5173 Harts Road, Ringwood, Illinois, US (42.422, -88.298)",1,42.4219453,-88.2983589,2020
38,Song Sparrow,Melospiza melodia,2020-09-22 18:39,"5173 Harts Road, Ringwood, Illinois, US (42.422, -88.298)",2,42.4219453,-88.2983589,2020
39,sparrow sp.,Passerellidae sp. (sparrow sp.),2020-09-22 18:39,"5173 Harts Road, Ringwood, Illinois, US (42.422, -88.298)",4,42.4219453,-88.2983589,2020
40,Red-winged Blackbird,Agelaius phoeniceus,2020-09-22 18:39,"5173 Harts Road, Ringwood, Illinois, US (42.422, -88.298)",50,42.4219453,-88.2983589,2020
41,Common Yellowthroat,Geothlypis trichas,2020-09-22 18:39,"5173 Harts Road, Ringwood, Illinois, US (42.422, -88.298)",1,42.4219453,-88.2983589,2020
42,Wood Duck,Aix sponsa,2020-09-22 18:35,North Shore Channel,2,42.0306155,-87.7098656,2020
43,Rock Pigeon,Columba livia,2020-09-22 18:35,North Shore Channel,8,42.0306155,-87.7098656,2020
44,Downy Woodpecker,Dryobates pubescens,2020-09-22 18:20,"106 Park Avenue, Le Roy, Illinois, US (40.347, -88.751)",1,40.3474852,-88.7505573,2020
45,Purple Finch,Haemorhous purpureus,2020-09-22 18:18,home,1,41.3677106,-89.4816041,2020
46,Eastern Wood-Pewee,Contopus virens,2020-09-22 18:15,"Lake Arlington Park (Arlington Heights, Cook Co.)",2,42.11401,-87.95998,2020
47,Sora,Porzana carolina,2020-09-22 18:13,Crab Orchard NWR--Wolfcreek Meadow Overlook,1,37.6911914,-89.0577126,2020
48,Ring-billed Gull,Larus delawarensis,2020-09-22 18:13,Crab Orchard NWR--Wolfcreek Meadow Overlook,2,37.6911914,-89.0577126,2020
49,American White Pelican,Pelecanus erythrorhynchos,2020-09-22 18:13,Crab Orchard NWR--Wolfcreek Meadow Overlook,17,37.6911914,-89.0577126,2020
50,Great Egret,Ardea alba,2020-09-22 18:13,Crab Orchard NWR--Wolfcreek Meadow Overlook,2,37.6911914,-89.0577126,2020
51,Barred Owl,Strix varia,2020-09-22 18:13,Crab Orchard NWR--Wolfcreek Meadow Overlook,1,37.6911914,-89.0577126,2020
52,Indigo Bunting,Passerina cyanea,2020-09-22 18:13,Crab Orchard NWR--Wolfcreek Meadow Overlook,1,37.6911914,-89.0577126,2020
53,Red-tailed Hawk,Buteo jamaicensis,2020-09-22 18:10,Hickory Knolls Natural Area,1,41.9117948,-88.3763409,2020
54,Gray Catbird,Dumetella carolinensis,2020-09-22 18:10,Hickory Knolls Natural Area,3,41.9117948,-88.3763409,2020
55,Eastern Bluebird,Sialia sialis,2020-09-22 18:10,Hickory Knolls Natural Area,2,41.9117948,-88.3763409,2020
56,Eastern Towhee,Pipilo erythrophthalmus,2020-09-22 18:10,Hickory Knolls Natural Area,1,41.9117948,-88.3763409,2020
57,Black-throated Green Warbler,Setophaga virens,2020-09-22 18:10,Hickory Knolls Natural Area,1,41.9117948,-88.3763409,2020
58,Blue-winged Teal,Spatula discors,2020-09-22 18:08,"Peacock Marsh, Bolingbrook",3,41.6764699,-88.114171,2020
59,Semipalmated Sandpiper,Calidris pusilla,2020-09-22 18:08,"Peacock Marsh, Bolingbrook",1,41.6764699,-88.114171,2020
60,Green Heron,Butorides virescens,2020-09-22 18:08,"Peacock Marsh, Bolingbrook",1,41.6764699,-88.114171,2020
61,Tree Swallow,Tachycineta bicolor,2020-09-22 18:08,"Peacock Marsh, Bolingbrook",6,41.6764699,-88.114171,2020
62,American Golden-Plover,Pluvialis dominica,2020-09-22 18:07,"Montrose Dunes, Lincoln Park, Chicago",1,41.9660701,-87.633369,2020
63,Least Sandpiper,Calidris minutilla,2020-09-22 18:07,"Montrose Dunes, Lincoln Park, Chicago",1,41.9660701,-87.633369,2020
64,Olive-sided Flycatcher,Contopus cooperi,2020-09-22 18:07,"Montrose Dunes, Lincoln Park, Chicago",1,41.9660701,-87.633369,2020
65,Ruby-crowned Kinglet,Regulus calendula,2020-09-22 18:07,"Montrose Dunes, Lincoln Park, Chicago",1,41.9660701,-87.633369,2020
66,Red-breasted Nuthatch,Sitta canadensis,2020-09-22 18:07,My Yard,1,42.286788,-88.983632,2020
67,Gray-cheeked Thrush,Catharus minimus,2020-09-22 18:07,"Montrose Dunes, Lincoln Park, Chicago",1,41.9660701,-87.633369,2020
68,Yellow-throated Vireo,Vireo flavifrons,2020-09-22 18:06,"Mattis Lake, Champaign",1,40.0875349,-88.2516479,2020
69,Philadelphia Vireo,Vireo philadelphicus,2020-09-22 18:06,"Mattis Lake, Champaign",3,40.0875349,-88.2516479,2020
70,Tennessee Warbler,Leiothlypis peregrina,2020-09-22 18:06,"Mattis Lake, Champaign",3,40.0875349,-88.2516479,2020
71,Double-crested Cormorant,Phalacrocorax auritus,2020-09-22 18:02,Crab Orchard NWR--Wolfcreek Causeway,2,37.7138419,-89.0596767,2020
72,Least Flycatcher,Empidonax minimus,2020-09-22 18:00,"Longview Meadow, Long Grove",1,42.1955872,-87.9859486,2020
73,Cedar Waxwing,Bombycilla cedrorum,2020-09-22 18:00,"Longview Meadow, Long Grove",5,42.1955872,-87.9859486,2020
74,Northern Parula,Setophaga americana,2020-09-22 18:00,Cathy and Gerald DeNeal home,1,37.6190628,-88.4855792,2020
75,Bay-breasted Warbler,Setophaga castanea,2020-09-22 18:00,Cathy and Gerald DeNeal home,1,37.6190628,-88.4855792,2020
76,Hairy Woodpecker,Dryobates villosus,2020-09-22 17:58,"Perkins Woods, Evanston",1,42.0598958,-87.7120496,2020
77,Magnolia Warbler,Setophaga magnolia,2020-09-22 17:58,"Perkins Woods, Evanston",1,42.0598958,-87.7120496,2020
78,Blackpoll Warbler,Setophaga striata,2020-09-22 17:58,"Perkins Woods, Evanston",1,42.0598958,-87.7120496,2020
79,Red-eyed Vireo,Vireo olivaceus,2020-09-22 17:57,"1302 Timberlane Drive, Sterling, Illinois, US (41.8, -89.654)",3,41.799862,-89.6540836,2020
80,Chipping Sparrow,Spizella passerina,2020-09-22 17:57,"1302 Timberlane Drive, Sterling, Illinois, US (41.8, -89.654)",2,41.799862,-89.6540836,2020
81,Nashville Warbler,Leiothlypis ruficapilla,2020-09-22 17:55,Bensenville Ditch,1,41.9430427,-87.9301588,2020
82,Merlin,Falco columbarius,2020-09-22 17:53,Boone Creek Conservation Area,1,42.342115,-88.3710194,2020
83,Blue-headed Vireo,Vireo solitarius,2020-09-22 17:51,"Town of Maine Cemetery, Park Ridge",1,42.009301,-87.854023,2020
84,Hermit Thrush,Catharus guttatus,2020-09-22 17:51,"Town of Maine Cemetery, Park Ridge",2,42.009301,-87.854023,2020
85,Orange-crowned Warbler,Leiothlypis celata,2020-09-22 17:51,"Town of Maine Cemetery, Park Ridge",1,42.009301,-87.854023,2020
86,Sharp-shinned Hawk,Accipiter striatus,2020-09-22 17:44,"Harbert Park, Evanston",1,42.037628,-87.7095222,2020
87,White-throated Sparrow,Zonotrichia albicollis,2020-09-22 17:44,"Harbert Park, Evanston",2,42.037628,-87.7095222,2020
88,Mourning Warbler,Geothlypis philadelphia,2020-09-22 17:44,"Harbert Park, Evanston",1,42.037628,-87.7095222,2020
89,American Redstart,Setophaga ruticilla,2020-09-22 17:44,"Harbert Park, Evanston",3,42.037628,-87.7095222,2020
90,Palm Warbler,Setophaga palmarum,2020-09-22 17:44,"Harbert Park, Evanston",4,42.037628,-87.7095222,2020
91,Cape May Warbler,Setophaga tigrina,2020-09-22 17:38,IIT Campus,3,41.834662,-87.6266523,2020
92,Northern Shoveler,Spatula clypeata,2020-09-22 17:30,Gridley WTP (restricted access),10,40.73,-88.871154,2020
93,Buff-breasted Sandpiper,Calidris subruficollis,2020-09-22 17:30,Gridley WTP (restricted access),1,40.73,-88.871154,2020
94,Wilson's Snipe,Gallinago delicata,2020-09-22 17:30,Amboy Marsh Wildlife Sanctuary,1,41.6869405,-89.3046534,2020
95,Red-necked Phalarope,Phalaropus lobatus,2020-09-22 17:30,Gridley WTP (restricted access),10,40.73,-88.871154,2020
96,Spotted Sandpiper,Actitis macularius,2020-09-22 17:30,Gridley WTP (restricted access),1,40.73,-88.871154,2020
97,Solitary Sandpiper,Tringa solitaria,2020-09-22 17:30,Amboy Marsh Wildlife Sanctuary,1,41.6869405,-89.3046534,2020
98,Greater Yellowlegs,Tringa melanoleuca,2020-09-22 17:30,Gridley WTP (restricted access),1,40.73,-88.871154,2020
99,Red-headed Woodpecker,Melanerpes erythrocephalus,2020-09-22 17:30,Amboy Marsh Wildlife Sanctuary,2,41.6869405,-89.3046534,2020
