,Common Name,Scientific Name,Date Sited,Location Name,Num Sighted,Latitude,Longitude,year
0,Sharp-shinned Hawk,Accipiter striatus,2020-09-26 20:41,LaBagh Woods Forest Preserve,1,41.9803903,-87.7412754,2020
1,Yellow-bellied Sapsucker,Sphyrapicus varius,2020-09-26 20:41,LaBagh Woods Forest Preserve,1,41.9803903,-87.7412754,2020
2,Black-capped Chickadee,Poecile atricapillus,2020-09-26 20:41,LaBagh Woods Forest Preserve,1,41.9803903,-87.7412754,2020
3,Red-breasted Nuthatch,Sitta canadensis,2020-09-26 20:41,LaBagh Woods Forest Preserve,1,41.9803903,-87.7412754,2020
4,Black-and-white Warbler,Mniotilta varia,2020-09-26 20:41,LaBagh Woods Forest Preserve,1,41.9803903,-87.7412754,2020
5,Yellow-rumped Warbler,Setophaga coronata,2020-09-26 20:41,LaBagh Woods Forest Preserve,1,41.9803903,-87.7412754,2020
6,Canada Goose,Branta canadensis,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",3,42.1399,-87.8295,2020
7,Mourning Dove,Zenaida macroura,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",3,42.1399,-87.8295,2020
8,Yellow-billed Cuckoo,Coccyzus americanus,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",2,42.1399,-87.8295,2020
9,Black-billed Cuckoo,Coccyzus erythropthalmus,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
10,Ring-billed Gull,Larus delawarensis,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
11,Red-shouldered Hawk,Buteo lineatus,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
12,Red-tailed Hawk,Buteo jamaicensis,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
13,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
14,Northern Flicker,Colaptes auratus,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
15,Eastern Wood-Pewee,Contopus virens,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
16,Eastern Phoebe,Sayornis phoebe,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",3,42.1399,-87.8295,2020
17,Blue Jay,Cyanocitta cristata,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
18,American Crow,Corvus brachyrhynchos,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",5,42.1399,-87.8295,2020
19,Cedar Waxwing,Bombycilla cedrorum,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",2,42.1399,-87.8295,2020
20,American Goldfinch,Spinus tristis,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",30,42.1399,-87.8295,2020
21,Song Sparrow,Melospiza melodia,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
22,Blackpoll Warbler,Setophaga striata,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",1,42.1399,-87.8295,2020
23,Palm Warbler,Setophaga palmarum,2020-09-26 20:35,"Somme Prairie Grove, Northbrook",2,42.1399,-87.8295,2020
24,House Wren,Troglodytes aedon,2020-09-26 20:07,Skokie backyard,1,42.0414527,-87.7262163,2020
25,American Avocet,Recurvirostra americana,2020-09-26 18:55,"Lincoln Park, Chicago--Foster Ave. Beach area",1,41.9762739,-87.6477671,2020
26,Northern Cardinal,Cardinalis cardinalis,2020-09-26 18:53,Irving Park 60618 Miscellaneous,4,41.9499794,-87.7176762,2020
27,Chimney Swift,Chaetura pelagica,2020-09-26 18:50,Geneva Post Office,1085,41.887167,-88.3084702,2020
28,Rock Pigeon,Columba livia,2020-09-26 18:41,"IL;  IL-127, Vergennes (37.8936,-89.3352)",3,37.893608,-89.335242,2020
29,Common Nighthawk,Chordeiles minor,2020-09-26 18:41,"IL;  IL-127, Vergennes (37.8936,-89.3352)",2,37.893608,-89.335242,2020
