,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Canada Goose,Branta canadensis,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",5,38.238629,-84.597402,2020
1,Mourning Dove,Zenaida macroura,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",6,38.238629,-84.597402,2020
2,Ruby-throated Hummingbird,Archilochus colubris,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",2,38.238629,-84.597402,2020
3,Killdeer,Charadrius vociferus,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",2,38.238629,-84.597402,2020
4,Great Blue Heron,Ardea herodias,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
5,Black Vulture,Coragyps atratus,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",3,38.238629,-84.597402,2020
6,Cooper's Hawk,Accipiter cooperii,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
7,Red-tailed Hawk,Buteo jamaicensis,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
8,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
9,Downy Woodpecker,Dryobates pubescens,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
10,Pileated Woodpecker,Dryocopus pileatus,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
11,American Kestrel,Falco sparverius,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
12,Blue Jay,Cyanocitta cristata,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",2,38.238629,-84.597402,2020
13,Carolina Chickadee,Poecile carolinensis,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
14,White-breasted Nuthatch,Sitta carolinensis,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
15,European Starling,Sturnus vulgaris,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",4,38.238629,-84.597402,2020
16,Eastern Bluebird,Sialia sialis,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",7,38.238629,-84.597402,2020
17,American Robin,Turdus migratorius,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",5,38.238629,-84.597402,2020
18,House Finch,Haemorhous mexicanus,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",8,38.238629,-84.597402,2020
19,American Goldfinch,Spinus tristis,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",3,38.238629,-84.597402,2020
20,Brown-headed Cowbird,Molothrus ater,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",2,38.238629,-84.597402,2020
21,Common Grackle,Quiscalus quiscula,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",3,38.238629,-84.597402,2020
22,Northern Cardinal,Cardinalis cardinalis,2020-09-26 21:10,"757 Lloyd Rd, Georgetown US-KY 38.23863, -84.59740",1,38.238629,-84.597402,2020
23,Black-and-white Warbler,Mniotilta varia,2020-09-26 20:12,"20 Indian Drive, Morehead, Kentucky, US (38.222, -83.5)",1,38.2224343,-83.4997224,2020
24,Great Horned Owl,Bubo virginianus,2020-09-26 19:51,"4007 Altawood Ct, Louisville US-KY 38.30249, -85.50318",2,38.302492,-85.503175,2020
25,Northern Flicker,Colaptes auratus,2020-09-26 19:26,Grand Central Boulevard,1,37.0586397,-84.6327331,2020
26,Carolina Wren,Thryothorus ludovicianus,2020-09-26 19:26,Grand Central Boulevard,3,37.0586397,-84.6327331,2020
27,Song Sparrow,Melospiza melodia,2020-09-26 19:26,Grand Central Boulevard,1,37.0586397,-84.6327331,2020
28,Eastern Towhee,Pipilo erythrophthalmus,2020-09-26 19:26,Grand Central Boulevard,3,37.0586397,-84.6327331,2020
29,warbler sp. (Parulidae sp.),Parulidae sp.,2020-09-26 19:26,Grand Central Boulevard,2,37.0586397,-84.6327331,2020
