,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Great Horned Owl,Bubo virginianus,2020-09-22 22:57,"Preston, Mill Street",1,38.7122539,-75.9111661,2020
1,Eastern Screech-Owl,Megascops asio,2020-09-22 21:00,"77 Bridgeview Ln, Swanton US-MD 39.50552, -79.30607",2,39.505521,-79.306073,2020
2,Mourning Dove,Zenaida macroura,2020-09-22 19:06,Washington Monument,2,39.297618,-76.6150501,2020
3,Chimney Swift,Chaetura pelagica,2020-09-22 19:06,Washington Monument,100,39.297618,-76.6150501,2020
4,Peregrine Falcon,Falco peregrinus,2020-09-22 19:06,Washington Monument,1,39.297618,-76.6150501,2020
5,Eastern Wood-Pewee,Contopus virens,2020-09-22 19:06,Washington Monument,1,39.297618,-76.6150501,2020
6,European Starling,Sturnus vulgaris,2020-09-22 19:06,Washington Monument,75,39.297618,-76.6150501,2020
7,Blue Jay,Cyanocitta cristata,2020-09-22 19:03,North Potomac,1,39.08291,-77.265,2020
8,Carolina Wren,Thryothorus ludovicianus,2020-09-22 19:03,North Potomac,1,39.08291,-77.265,2020
9,House Finch,Haemorhous mexicanus,2020-09-22 19:03,North Potomac,1,39.08291,-77.265,2020
10,Northern Cardinal,Cardinalis cardinalis,2020-09-22 19:03,North Potomac,1,39.08291,-77.265,2020
11,Pine Warbler,Setophaga pinus,2020-09-22 18:52,"Tydings Memorial Park, Havre de Grace",1,39.5384858,-76.0896134,2020
12,Common Nighthawk,Chordeiles minor,2020-09-22 18:42,Norbeck Meadows Neighborhood Park,1,39.1315565,-77.0887859,2020
13,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-22 18:42,Norbeck Meadows Neighborhood Park,1,39.1315565,-77.0887859,2020
14,Pileated Woodpecker,Dryocopus pileatus,2020-09-22 18:42,Norbeck Meadows Neighborhood Park,1,39.1315565,-77.0887859,2020
15,Carolina Chickadee,Poecile carolinensis,2020-09-22 18:42,North Potomac,1,39.08291,-77.265,2020
16,Tufted Titmouse,Baeolophus bicolor,2020-09-22 18:42,North Potomac,1,39.08291,-77.265,2020
17,White-breasted Nuthatch,Sitta carolinensis,2020-09-22 18:42,North Potomac,1,39.08291,-77.265,2020
18,Eastern Bluebird,Sialia sialis,2020-09-22 18:42,North Potomac,1,39.08291,-77.265,2020
19,American Goldfinch,Spinus tristis,2020-09-22 18:42,North Potomac,3,39.08291,-77.265,2020
20,Canada Goose,Branta canadensis,2020-09-22 18:30,Tuscarora Creek Development,2,39.4691313,-77.4311256,2020
21,Downy Woodpecker,Dryobates pubescens,2020-09-22 18:30,Morningside Dr Glen Burnie my yard,1,39.1464703,-76.6153049,2020
22,Hairy Woodpecker,Dryobates villosus,2020-09-22 18:30,Tuscarora Creek Development,2,39.4691313,-77.4311256,2020
23,House Wren,Troglodytes aedon,2020-09-22 18:30,Tuscarora Creek Development,1,39.4691313,-77.4311256,2020
24,Gray Catbird,Dumetella carolinensis,2020-09-22 18:30,Tuscarora Creek Development,4,39.4691313,-77.4311256,2020
25,American Robin,Turdus migratorius,2020-09-22 18:30,Tuscarora Creek Development,84,39.4691313,-77.4311256,2020
26,House Sparrow,Passer domesticus,2020-09-22 18:30,Morningside Dr Glen Burnie my yard,1,39.1464703,-76.6153049,2020
27,American Redstart,Setophaga ruticilla,2020-09-22 18:30,"11021 Nicholas Pl, Ijamsville US-MD 39.31978, -77.27997",1,39.31978,-77.279965,2020
28,Northern Parula,Setophaga americana,2020-09-22 18:30,"11021 Nicholas Pl, Ijamsville US-MD 39.31978, -77.27997",1,39.31978,-77.279965,2020
29,Black-throated Green Warbler,Setophaga virens,2020-09-22 18:30,"11021 Nicholas Pl, Ijamsville US-MD 39.31978, -77.27997",1,39.31978,-77.279965,2020
30,Northern Flicker,Colaptes auratus,2020-09-22 18:21,2515 Whitt Road - ESPIJC,1,39.4762129,-76.3925529,2020
31,Cedar Waxwing,Bombycilla cedrorum,2020-09-22 18:21,2515 Whitt Road - ESPIJC,1,39.4762129,-76.3925529,2020
32,Mallard,Anas platyrhynchos,2020-09-22 18:20,St. Charles Towne Center Retention Ponds Waldorf,2,38.6144397,-76.9271873,2020
33,Ring-necked Duck,Aythya collaris,2020-09-22 18:20,St. Charles Towne Center Retention Ponds Waldorf,1,38.6144397,-76.9271873,2020
34,Great Egret,Ardea alba,2020-09-22 18:20,St. Charles Towne Center Retention Ponds Waldorf,11,38.6144397,-76.9271873,2020
35,Belted Kingfisher,Megaceryle alcyon,2020-09-22 18:20,St. Charles Towne Center Retention Ponds Waldorf,5,38.6144397,-76.9271873,2020
36,American Kestrel,Falco sparverius,2020-09-22 18:19,"Elk Neck State Forest. 
Irishtown Road. 
Bond Observation Tower.",1,39.5825405,-75.9167065,2020
37,Red-eyed Vireo,Vireo olivaceus,2020-09-22 18:19,"Elk Neck State Forest. 
Irishtown Road. 
Bond Observation Tower.",1,39.5825405,-75.9167065,2020
38,Common Raven,Corvus corax,2020-09-22 18:19,"Elk Neck State Forest. 
Irishtown Road. 
Bond Observation Tower.",1,39.5825405,-75.9167065,2020
39,Eastern Towhee,Pipilo erythrophthalmus,2020-09-22 18:19,"Elk Neck State Forest. 
Irishtown Road. 
Bond Observation Tower.",1,39.5825405,-75.9167065,2020
40,Ruby-throated Hummingbird,Archilochus colubris,2020-09-22 18:15,Forestgate,1,39.001237,-76.822105,2020
41,Red-breasted Nuthatch,Sitta canadensis,2020-09-22 18:15,Forestgate,1,39.001237,-76.822105,2020
42,Brown Thrasher,Toxostoma rufum,2020-09-22 18:15,Forestgate,1,39.001237,-76.822105,2020
43,Gray-cheeked Thrush,Catharus minimus,2020-09-22 18:15,Forestgate,1,39.001237,-76.822105,2020
44,Wood Thrush,Hylocichla mustelina,2020-09-22 18:15,Forestgate,1,39.001237,-76.822105,2020
45,Common Yellowthroat,Geothlypis trichas,2020-09-22 18:15,Forestgate,3,39.001237,-76.822105,2020
46,Black Vulture,Coragyps atratus,2020-09-22 18:04,"90 Weaver Rd, Accident US-MD (39.6734,-79.3222)",4,39.67336,-79.322217,2020
47,Turkey Vulture,Cathartes aura,2020-09-22 18:04,"90 Weaver Rd, Accident US-MD (39.6734,-79.3222)",29,39.67336,-79.322217,2020
48,American Crow,Corvus brachyrhynchos,2020-09-22 18:04,"90 Weaver Rd, Accident US-MD (39.6734,-79.3222)",4,39.67336,-79.322217,2020
49,Black-capped Chickadee,Poecile atricapillus,2020-09-22 18:04,"90 Weaver Rd, Accident US-MD (39.6734,-79.3222)",2,39.67336,-79.322217,2020
50,Cape May Warbler,Setophaga tigrina,2020-09-22 18:04,"90 Weaver Rd, Accident US-MD (39.6734,-79.3222)",1,39.67336,-79.322217,2020
51,Swainson's Thrush,Catharus ustulatus,2020-09-22 18:00,"736 Red Cedar Road, Annapolis",1,39.0074309,-76.4365677,2020
52,Common Grackle,Quiscalus quiscula,2020-09-22 18:00,"My Yard, Odenton MD",6,39.0814399,-76.6777897,2020
