,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Eastern Screech-Owl,Megascops asio,2020-09-22 23:54,Sommer Park Preserve,1,40.4113747,-74.77561,2020
1,Mourning Dove,Zenaida macroura,2020-09-22 23:08,Saint Peter's University,1,40.7274722,-74.0722784,2020
2,Blue Jay,Cyanocitta cristata,2020-09-22 23:08,Saint Peter's University,1,40.7274722,-74.0722784,2020
3,House Sparrow,Passer domesticus,2020-09-22 23:08,Saint Peter's University,15,40.7274722,-74.0722784,2020
4,American Goldfinch,Spinus tristis,2020-09-22 23:08,Saint Peter's University,1,40.7274722,-74.0722784,2020
5,Tree Swallow,Tachycineta bicolor,2020-09-22 21:26,Island Beach SP--Reed's Road,10,39.8960622,-74.0828512,2020
6,Barred Owl,Strix varia,2020-09-22 21:21,Delaware Water Gap NRA--Blue Mountain Lakes,1,41.1020647,-74.9273533,2020
7,Cooper's Hawk,Accipiter cooperii,2020-09-22 20:25,"174 Clover Hill Dr, Flanders US-NJ 40.83139, -74.70459",1,40.831394,-74.704585,2020
8,Great Blue Heron,Ardea herodias,2020-09-22 19:16,Friendship Rd Yard,1,39.7990161,-75.2406299,2020
9,Clapper Rail,Rallus crepitans,2020-09-22 19:15,Stone Harbor Point,1,39.0270763,-74.7776286,2020
10,American Oystercatcher,Haematopus palliatus,2020-09-22 19:15,Stone Harbor Point,2,39.0270763,-74.7776286,2020
11,Semipalmated Plover,Charadrius semipalmatus,2020-09-22 19:15,Stone Harbor Point,1,39.0270763,-74.7776286,2020
12,Ruddy Turnstone,Arenaria interpres,2020-09-22 19:15,Stone Harbor Point,1,39.0270763,-74.7776286,2020
13,Great Black-backed Gull,Larus marinus,2020-09-22 19:15,Stone Harbor Point,1,39.0270763,-74.7776286,2020
14,Great Egret,Ardea alba,2020-09-22 19:15,Stone Harbor Point,3,39.0270763,-74.7776286,2020
15,Northern Mockingbird,Mimus polyglottos,2020-09-22 19:15,Stone Harbor Point,1,39.0270763,-74.7776286,2020
16,American Robin,Turdus migratorius,2020-09-22 19:15,Stone Harbor Point,1,39.0270763,-74.7776286,2020
17,Common Nighthawk,Chordeiles minor,2020-09-22 19:05,Dorbrook Recreation Area,1,40.2978576,-74.1344118,2020
18,Laughing Gull,Leucophaeus atricilla,2020-09-22 19:05,Nummy Island,3,39.0365891,-74.7912741,2020
19,Herring Gull,Larus argentatus,2020-09-22 19:05,Nummy Island,2,39.0365891,-74.7912741,2020
20,Lesser Black-backed Gull,Larus fuscus,2020-09-22 19:05,Nummy Island,1,39.0365891,-74.7912741,2020
21,Forster's Tern,Sterna forsteri,2020-09-22 19:05,Nummy Island,1,39.0365891,-74.7912741,2020
22,Royal Tern,Thalasseus maximus,2020-09-22 19:05,Nummy Island,2,39.0365891,-74.7912741,2020
23,Northern Harrier,Circus hudsonius,2020-09-22 19:05,middlebush,1,40.4860795,-74.5334644,2020
24,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-22 18:49,"201 South White Horse Pike, Winslow Township, New Jersey, US (39.719, -74.857)",1,39.7188497,-74.857358,2020
25,Downy Woodpecker,Dryobates pubescens,2020-09-22 18:49,"201 South White Horse Pike, Winslow Township, New Jersey, US (39.719, -74.857)",1,39.7188497,-74.857358,2020
26,Northern Flicker,Colaptes auratus,2020-09-22 18:49,"201 South White Horse Pike, Winslow Township, New Jersey, US (39.719, -74.857)",1,39.7188497,-74.857358,2020
27,Carolina Chickadee,Poecile carolinensis,2020-09-22 18:49,"201 South White Horse Pike, Winslow Township, New Jersey, US (39.719, -74.857)",4,39.7188497,-74.857358,2020
28,Tufted Titmouse,Baeolophus bicolor,2020-09-22 18:49,"201 South White Horse Pike, Winslow Township, New Jersey, US (39.719, -74.857)",2,39.7188497,-74.857358,2020
