,Common Name,Scientific Name,Date Sited,Location Name,Num Sighted,Latitude,Longitude,year
0,Great Horned Owl,Bubo virginianus,2020-09-26 23:34,Backyard,1,29.618946,-98.247328,2020
1,Eastern Screech-Owl,Megascops asio,2020-09-26 22:44,"104 Poplar Dr, Mountain City US-TX 30.04517, -97.89045",1,30.045169,-97.890453,2020
2,Barred Owl,Strix varia,2020-09-26 22:44,Bret's House,1,33.638454,-97.129593,2020
3,Common Nighthawk,Chordeiles minor,2020-09-26 20:41,"16900 RM-620, Round Rock US-TX 30.50050, -97.72245",1,30.500502,-97.722448,2020
4,Common Poorwill,Phalaenoptilus nuttallii,2020-09-26 20:17,Brewster Co.--Terlingua Ranch Rd.,1,29.5411942,-103.4624845,2020
5,Black-bellied Whistling-Duck,Dendrocygna autumnalis,2020-09-26 19:58,Royal oak estates  nearby canal,10,26.265317,-98.212159,2020
6,Chimney Swift,Chaetura pelagica,2020-09-26 19:58,Royal oak estates  nearby canal,1,26.265317,-98.212159,2020
7,Lesser Nighthawk,Chordeiles acutipennis,2020-09-26 19:40,"Texas, US (28.254, -99.256) Private Santa Anita Ranch",7,28.2535431,-99.2561674,2020
8,Common Pauraque,Nyctidromus albicollis,2020-09-26 19:40,"Texas, US (28.254, -99.256) Private Santa Anita Ranch",2,28.2535431,-99.2561674,2020
9,Killdeer,Charadrius vociferus,2020-09-26 19:39,"Dixieland Park, Harlingen",1,26.1659152,-97.7168655,2020
10,Black-crowned Night-Heron,Nycticorax nycticorax,2020-09-26 19:39,"Dixieland Park, Harlingen",2,26.1659152,-97.7168655,2020
11,Yellow-crowned Night-Heron,Nyctanassa violacea,2020-09-26 19:39,"Dixieland Park, Harlingen",1,26.1659152,-97.7168655,2020
12,Curve-billed Thrasher,Toxostoma curvirostre,2020-09-26 19:39,"Dixieland Park, Harlingen",1,26.1659152,-97.7168655,2020
13,Northern Mockingbird,Mimus polyglottos,2020-09-26 19:39,"Dixieland Park, Harlingen",1,26.1659152,-97.7168655,2020
14,Cooper's Hawk,Accipiter cooperii,2020-09-26 19:37,DDD Olds Creek Dr,1,30.618894,-103.982375,2020
15,Cassin's Kingbird,Tyrannus vociferans,2020-09-26 19:37,DDD Olds Creek Dr,1,30.618894,-103.982375,2020
16,Tennessee Warbler,Leiothlypis peregrina,2020-09-26 19:30,Rice U. Campus,1,29.7185728,-95.3991151,2020
17,Nashville Warbler,Leiothlypis ruficapilla,2020-09-26 19:30,Rice U. Campus,1,29.7185728,-95.3991151,2020
18,warbler sp. (Parulidae sp.),Parulidae sp.,2020-09-26 19:30,Rice U. Campus,3,29.7185728,-95.3991151,2020
19,Northern Cardinal,Cardinalis cardinalis,2020-09-26 19:30,Casa del Connor,1,31.6959895,-94.8143928,2020
20,Great-tailed Grackle,Quiscalus mexicanus,2020-09-26 19:27,San Antonio KOA Holiday (Salado Creek Greenway),6,29.4346511,-98.4216497,2020
21,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),2020-09-26 19:26,Woodlawn Lake (HOTE 093),6,29.450321,-98.53288,2020
22,Mute Swan,Cygnus olor,2020-09-26 19:26,Woodlawn Lake (HOTE 093),1,29.450321,-98.53288,2020
23,Egyptian Goose,Alopochen aegyptiaca,2020-09-26 19:26,Woodlawn Lake (HOTE 093),100,29.450321,-98.53288,2020
24,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),2020-09-26 19:26,Woodlawn Lake (HOTE 093),1,29.450321,-98.53288,2020
25,Blue-winged Teal,Spatula discors,2020-09-26 19:26,Woodlawn Lake (HOTE 093),1,29.450321,-98.53288,2020
26,Mallard,Anas platyrhynchos,2020-09-26 19:26,Woodlawn Lake (HOTE 093),5,29.450321,-98.53288,2020
27,duck sp.,Anatinae sp.,2020-09-26 19:26,Woodlawn Lake (HOTE 093),16,29.450321,-98.53288,2020
28,Great Egret,Ardea alba,2020-09-26 19:26,Woodlawn Lake (HOTE 093),1,29.450321,-98.53288,2020
29,Snowy Egret,Egretta thula,2020-09-26 19:16,Yard,1,32.4734858,-97.4121152,2020
30,Scissor-tailed Flycatcher,Tyrannus forficatus,2020-09-26 19:16,Yard,1,32.4734858,-97.4121152,2020
31,Blue Jay,Cyanocitta cristata,2020-09-26 19:16,Yard,2,32.4734858,-97.4121152,2020
32,American Crow,Corvus brachyrhynchos,2020-09-26 19:16,Yard,1,32.4734858,-97.4121152,2020
33,Carolina Wren,Thryothorus ludovicianus,2020-09-26 19:16,Yard,1,32.4734858,-97.4121152,2020
34,European Starling,Sturnus vulgaris,2020-09-26 19:15,Yard,7,32.4734858,-97.4121152,2020
35,Canada Goose,Branta canadensis,2020-09-26 19:09,Tour 18,30,33.04762,-97.164588,2020
36,Ruby-throated Hummingbird,Archilochus colubris,2020-09-26 19:09,Clear Creek Village,2,29.5050386,-95.1222247,2020
37,Rock Pigeon,Columba livia,2020-09-26 19:03,"17306 Bulverde Road, San Antonio, Texas, US (29.599, -98.418)",1,29.5985917,-98.4180094,2020
38,White-winged Dove,Zenaida asiatica,2020-09-26 19:03,"17306 Bulverde Road, San Antonio, Texas, US (29.599, -98.418)",1,29.5985917,-98.4180094,2020
39,House Sparrow,Passer domesticus,2020-09-26 19:03,"17306 Bulverde Road, San Antonio, Texas, US (29.599, -98.418)",1,29.5985917,-98.4180094,2020
40,Mourning Dove,Zenaida macroura,2020-09-26 18:59,"Yard, Persimmon Grove",6,29.5541351,-95.7491059,2020
41,Neotropic Cormorant,Phalacrocorax brasilianus,2020-09-26 18:59,"Yard, Persimmon Grove",8,29.5541351,-95.7491059,2020
42,Great Blue Heron,Ardea herodias,2020-09-26 18:59,"Yard, Persimmon Grove",1,29.5541351,-95.7491059,2020
43,Little Blue Heron,Egretta caerulea,2020-09-26 18:59,"Yard, Persimmon Grove",1,29.5541351,-95.7491059,2020
44,Cattle Egret,Bubulcus ibis,2020-09-26 18:59,"Yard, Persimmon Grove",11,29.5541351,-95.7491059,2020
45,White Ibis,Eudocimus albus,2020-09-26 18:59,"Yard, Persimmon Grove",1,29.5541351,-95.7491059,2020
46,Belted Kingfisher,Megaceryle alcyon,2020-09-26 18:59,"Yard, Persimmon Grove",1,29.5541351,-95.7491059,2020
47,Mottled Duck,Anas fulvigula,2020-09-26 18:57,Port Aransas--Leonabelle Turnbull Birding Ctr. (CTC 057),3,27.8275297,-97.0789558,2020
48,Green-winged Teal,Anas crecca,2020-09-26 18:57,Port Aransas--Leonabelle Turnbull Birding Ctr. (CTC 057),3,27.8275297,-97.0789558,2020
49,Common Gallinule,Gallinula galeata,2020-09-26 18:57,Port Aransas--Leonabelle Turnbull Birding Ctr. (CTC 057),8,27.8275297,-97.0789558,2020
50,American Coot,Fulica americana,2020-09-26 18:57,Port Aransas--Leonabelle Turnbull Birding Ctr. (CTC 057),2,27.8275297,-97.0789558,2020
51,Laughing Gull,Leucophaeus atricilla,2020-09-26 18:57,Port Aransas--Leonabelle Turnbull Birding Ctr. (CTC 057),5,27.8275297,-97.0789558,2020
52,Tricolored Heron,Egretta tricolor,2020-09-26 18:57,Port Aransas--Leonabelle Turnbull Birding Ctr. (CTC 057),2,27.8275297,-97.0789558,2020
53,Yellow Warbler,Setophaga petechia,2020-09-26 18:57,Port Aransas--Leonabelle Turnbull Birding Ctr. (CTC 057),1,27.8275297,-97.0789558,2020
54,Red-vented Bulbul,Pycnonotus cafer,2020-09-26 18:56,"628 Hawthorne St, Houston US-TX 29.74260, -95.38750",2,29.7426,-95.387503,2020
55,Inca Dove,Columbina inca,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",2,33.0568746,-97.7941132,2020
56,Black-chinned Hummingbird,Archilochus alexandri,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",1,33.0568746,-97.7941132,2020
57,Turkey Vulture,Cathartes aura,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",2,33.0568746,-97.7941132,2020
58,Red-shouldered Hawk,Buteo lineatus,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",2,33.0568746,-97.7941132,2020
59,Red-tailed Hawk,Buteo jamaicensis,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",1,33.0568746,-97.7941132,2020
60,Red-bellied Woodpecker,Melanerpes carolinus,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",2,33.0568746,-97.7941132,2020
61,Downy Woodpecker,Dryobates pubescens,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",2,33.0568746,-97.7941132,2020
62,Eastern Phoebe,Sayornis phoebe,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",2,33.0568746,-97.7941132,2020
63,White-eyed Vireo,Vireo griseus,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",4,33.0568746,-97.7941132,2020
64,Carolina Chickadee,Poecile carolinensis,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",6,33.0568746,-97.7941132,2020
65,Tufted x Black-crested Titmouse (hybrid),Baeolophus bicolor x atricristatus,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",3,33.0568746,-97.7941132,2020
66,Bewick's Wren,Thryomanes bewickii,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",2,33.0568746,-97.7941132,2020
67,Eastern Bluebird,Sialia sialis,2020-09-26 18:53,"Private Residence ~ Paradise, Texas",2,33.0568746,-97.7941132,2020
68,Sanderling,Calidris alba,2020-09-26 18:52,"6021 SH-361, Corpus Christi US-TX 27.74845, -97.11981",2,27.748451,-97.11981,2020
69,Willet,Tringa semipalmata,2020-09-26 18:52,"6021 SH-361, Corpus Christi US-TX 27.74845, -97.11981",1,27.748451,-97.11981,2020
70,Ring-billed Gull,Larus delawarensis,2020-09-26 18:52,"6021 SH-361, Corpus Christi US-TX 27.74845, -97.11981",10,27.748451,-97.11981,2020
71,Forster's Tern,Sterna forsteri,2020-09-26 18:52,"6021 SH-361, Corpus Christi US-TX 27.74845, -97.11981",2,27.748451,-97.11981,2020
72,Brown Pelican,Pelecanus occidentalis,2020-09-26 18:52,"6021 SH-361, Corpus Christi US-TX 27.74845, -97.11981",2,27.748451,-97.11981,2020
73,Reddish Egret,Egretta rufescens,2020-09-26 18:52,"6021 SH-361, Corpus Christi US-TX 27.74845, -97.11981",1,27.748451,-97.11981,2020
74,Rufous Hummingbird,Selasphorus rufus,2020-09-26 18:49,"16003 Perch Pond Ct, Cypress US-TX 29.93268, -95.73648",1,29.932682,-95.736475,2020
75,Loggerhead Shrike,Lanius ludovicianus,2020-09-26 18:49,"16003 Perch Pond Ct, Cypress US-TX 29.93268, -95.73648",1,29.932682,-95.736475,2020
76,White-faced Ibis,Plegadis chihi,2020-09-26 18:45,"FTF upper meadow, Caldwell, Texas, US (30.566, -96.517)",3,30.5660678,-96.5169654,2020
77,Pileated Woodpecker,Dryocopus pileatus,2020-09-26 18:45,"FTF upper meadow, Caldwell, Texas, US (30.566, -96.517)",1,30.5660678,-96.5169654,2020
78,Western Kingbird,Tyrannus verticalis,2020-09-26 18:45,"FTF upper meadow, Caldwell, Texas, US (30.566, -96.517)",1,30.5660678,-96.5169654,2020
79,Black Vulture,Coragyps atratus,2020-09-26 18:44,"10530 Rainbow View, Helotes US-TX 29.56845, -98.70029",4,29.568455,-98.700287,2020
80,Black-crested Titmouse,Baeolophus atricristatus,2020-09-26 18:43,"5749 Ranch Road 32, Blanco, Texas, US (30.029, -98.333)",1,30.0285006,-98.3333054,2020
81,Lesser Goldfinch,Spinus psaltria,2020-09-26 18:43,"5749 Ranch Road 32, Blanco, Texas, US (30.029, -98.333)",1,30.0285006,-98.3333054,2020
82,Buff-bellied Hummingbird,Amazilia yucatanensis,2020-09-26 18:42,Personal location,1,25.9410464,-97.4947894,2020
83,Golden-fronted Woodpecker,Melanerpes aurifrons,2020-09-26 18:42,Personal location,2,25.9410464,-97.4947894,2020
84,Green Parakeet,Psittacara holochlorus,2020-09-26 18:42,Personal location,16,25.9410464,-97.4947894,2020
