,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,year
0,Great Horned Owl,Bubo virginianus,2020-09-22 22:30,Chief Timothy Park,1,46.4159672,-117.1939945,2020
1,Gadwall,Mareca strepera,2020-09-22 22:09,"342 Wilson Street, Port Townsend, Washington, US (48.102, -122.786)",7,48.1018613,-122.785882,2020
2,Black Oystercatcher,Haematopus bachmani,2020-09-22 22:09,"342 Wilson Street, Port Townsend, Washington, US (48.102, -122.786)",1,48.1018613,-122.785882,2020
3,Black Turnstone,Arenaria melanocephala,2020-09-22 22:09,"342 Wilson Street, Port Townsend, Washington, US (48.102, -122.786)",43,48.1018613,-122.785882,2020
4,Surfbird,Calidris virgata,2020-09-22 22:09,"342 Wilson Street, Port Townsend, Washington, US (48.102, -122.786)",2,48.1018613,-122.785882,2020
5,shorebird sp.,Charadriiformes sp.,2020-09-22 22:09,"342 Wilson Street, Port Townsend, Washington, US (48.102, -122.786)",2,48.1018613,-122.785882,2020
6,Great Blue Heron,Ardea herodias,2020-09-22 22:09,"342 Wilson Street, Port Townsend, Washington, US (48.102, -122.786)",1,48.1018613,-122.785882,2020
7,Belted Kingfisher,Megaceryle alcyon,2020-09-22 22:09,"342 Wilson Street, Port Townsend, Washington, US (48.102, -122.786)",3,48.1018613,-122.785882,2020
8,Yellow Warbler,Setophaga petechia,2020-09-22 21:15,Battle Ground Yard,1,45.844,-122.475,2020
9,Killdeer,Charadrius vociferus,2020-09-22 21:00,House near Lincoln Park,1,48.11813,-123.476123,2020
10,Barn Owl,Tyto alba,2020-09-22 21:00,House near Lincoln Park,1,48.11813,-123.476123,2020
11,Swainson's Thrush,Catharus ustulatus,2020-09-22 20:49,Seattle--Broadview yard,7,47.726486,-122.3613238,2020
12,Hermit Thrush,Catharus guttatus,2020-09-22 20:49,Seattle--Broadview yard,1,47.726486,-122.3613238,2020
13,passerine sp.,Passeriformes sp.,2020-09-22 20:49,Seattle--Broadview yard,6,47.726486,-122.3613238,2020
14,bird sp.,Aves sp.,2020-09-22 20:49,Seattle--Broadview yard,1,47.726486,-122.3613238,2020
15,Northern Pygmy-Owl,Glaucidium gnoma,2020-09-22 19:40,Eagle Creek Rd.,1,47.6361296,-120.6186858,2020
16,Barred Owl,Strix varia,2020-09-22 19:40,Eagle Creek Rd.,1,47.6361296,-120.6186858,2020
17,Northern Saw-whet Owl,Aegolius acadicus,2020-09-22 19:40,Eagle Creek Rd.,1,47.6361296,-120.6186858,2020
18,Canada Goose,Branta canadensis,2020-09-22 19:19,"2509–2819 Frank Albert Rd E, Fife US-WA (47.2318,-122.3667)",120,47.231835,-122.366687,2020
19,Wood Duck,Aix sponsa,2020-09-22 19:19,"2509–2819 Frank Albert Rd E, Fife US-WA (47.2318,-122.3667)",8,47.231835,-122.366687,2020
20,Green Heron,Butorides virescens,2020-09-22 19:19,"2509–2819 Frank Albert Rd E, Fife US-WA (47.2318,-122.3667)",1,47.231835,-122.366687,2020
21,Red-winged Blackbird,Agelaius phoeniceus,2020-09-22 19:19,"2509–2819 Frank Albert Rd E, Fife US-WA (47.2318,-122.3667)",1,47.231835,-122.366687,2020
22,Common Yellowthroat,Geothlypis trichas,2020-09-22 19:19,"2509–2819 Frank Albert Rd E, Fife US-WA (47.2318,-122.3667)",2,47.231835,-122.366687,2020
23,American Crow,Corvus brachyrhynchos,2020-09-22 19:12,Seattle--Broadview yard,2,47.726486,-122.3613238,2020
24,White-crowned Sparrow,Zonotrichia leucophrys,2020-09-22 19:12,Seattle--Broadview yard,1,47.726486,-122.3613238,2020
25,Golden-crowned Sparrow,Zonotrichia atricapilla,2020-09-22 19:12,Seattle--Broadview yard,1,47.726486,-122.3613238,2020
26,Vaux's Swift,Chaetura vauxi,2020-09-22 19:00,Residence near downtown Chehalis,90,46.6659532,-122.9683346,2020
27,cormorant sp.,Phalacrocoracidae sp.,2020-09-22 18:55,Westport -- Marina,2,46.9096434,-124.1138792,2020
28,California Scrub-Jay,Aphelocoma californica,2020-09-22 18:54,University Place - Sunset Dr W and 29th St W,1,47.2333823,-122.5452965,2020
29,Great Egret,Ardea alba,2020-09-22 18:45,Fisher Slough (Restricted Access),1,48.323832,-122.3431277,2020
30,Caspian Tern,Hydroprogne caspia,2020-09-22 18:32,Westport -- Marina,1,46.9096434,-124.1138792,2020
31,Double-crested Cormorant,Phalacrocorax auritus,2020-09-22 18:32,Westport -- Marina,1,46.9096434,-124.1138792,2020
32,Brown Pelican,Pelecanus occidentalis,2020-09-22 18:32,Westport -- Marina,8,46.9096434,-124.1138792,2020
33,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),2020-09-22 18:30,Bellingham--Padden Lagoon,2,48.7214584,-122.5085879,2020
34,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,2020-09-22 18:30,Bellingham--Padden Lagoon,2,48.7214584,-122.5085879,2020
35,Mallard,Anas platyrhynchos,2020-09-22 18:30,Bellingham--Padden Lagoon,19,48.7214584,-122.5085879,2020
36,Common Goldeneye,Bucephala clangula,2020-09-22 18:30,Bellingham--Padden Lagoon,1,48.7214584,-122.5085879,2020
37,California Quail,Callipepla californica,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",21,47.410247,-120.357715,2020
38,Rock Pigeon,Columba livia,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",13,47.410247,-120.357715,2020
39,Band-tailed Pigeon,Patagioenas fasciata,2020-09-22 18:30,"106th and Park Ave. south, Tacoma, WA.",3,47.1606795,-121.9921231,2020
40,Eurasian Collared-Dove,Streptopelia decaocto,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",3,47.410247,-120.357715,2020
41,Mourning Dove,Zenaida macroura,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",7,47.410247,-120.357715,2020
42,Anna's Hummingbird,Calypte anna,2020-09-22 18:30,"106th and Park Ave. south, Tacoma, WA.",4,47.1606795,-121.9921231,2020
43,Glaucous-winged Gull,Larus glaucescens,2020-09-22 18:30,Bellingham--Padden Lagoon,2,48.7214584,-122.5085879,2020
44,Northern Flicker,Colaptes auratus,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",1,47.410247,-120.357715,2020
45,American Kestrel,Falco sparverius,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",2,47.410247,-120.357715,2020
46,Merlin,Falco columbarius,2020-09-22 18:30,"6235 NE Princeton Way, Seattle US-WA (47.6755,-122.2759)",1,47.675461,-122.275908,2020
47,Steller's Jay,Cyanocitta stelleri,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",4,47.410247,-120.357715,2020
48,Bewick's Wren,Thryomanes bewickii,2020-09-22 18:30,"106th and Park Ave. south, Tacoma, WA.",2,47.1606795,-121.9921231,2020
49,European Starling,Sturnus vulgaris,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",10,47.410247,-120.357715,2020
50,American Robin,Turdus migratorius,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",1,47.410247,-120.357715,2020
51,House Sparrow,Passer domesticus,2020-09-22 18:30,"1009 Canyonside Rd, Wenatchee US-WA 47.41025, -120.35771",4,47.410247,-120.357715,2020
52,Dark-eyed Junco,Junco hyemalis,2020-09-22 18:30,"106th and Park Ave. south, Tacoma, WA.",2,47.1606795,-121.9921231,2020
53,Song Sparrow,Melospiza melodia,2020-09-22 18:30,"106th and Park Ave. south, Tacoma, WA.",2,47.1606795,-121.9921231,2020
54,Spotted Towhee,Pipilo maculatus,2020-09-22 18:30,"106th and Park Ave. south, Tacoma, WA.",1,47.1606795,-121.9921231,2020
55,Black-capped Chickadee,Poecile atricapillus,2020-09-22 18:27,"916 Third Ave, Kirkland US-WA 47.67820, -122.19167",10,47.678205,-122.191668,2020
56,Golden-crowned Kinglet,Regulus satrapa,2020-09-22 18:27,"916 Third Ave, Kirkland US-WA 47.67820, -122.19167",2,47.678205,-122.191668,2020
57,Red-breasted Nuthatch,Sitta canadensis,2020-09-22 18:27,"916 Third Ave, Kirkland US-WA 47.67820, -122.19167",1,47.678205,-122.191668,2020
58,Surf Scoter,Melanitta perspicillata,2020-09-22 18:25,"Long Beach, not far outside the WorldMark",7,46.3474628,-124.0655256,2020
59,Semipalmated Plover,Charadrius semipalmatus,2020-09-22 18:25,"Long Beach, not far outside the WorldMark",1,46.3474628,-124.0655256,2020
60,Sanderling,Calidris alba,2020-09-22 18:25,"Long Beach, not far outside the WorldMark",300,46.3474628,-124.0655256,2020
61,Dunlin,Calidris alpina,2020-09-22 18:25,"Long Beach, not far outside the WorldMark",1,46.3474628,-124.0655256,2020
62,Western Sandpiper,Calidris mauri,2020-09-22 18:25,"Long Beach, not far outside the WorldMark",3,46.3474628,-124.0655256,2020
63,Western Gull,Larus occidentalis,2020-09-22 18:25,"Long Beach, not far outside the WorldMark",15,46.3474628,-124.0655256,2020
64,California Gull,Larus californicus,2020-09-22 18:25,"Long Beach, not far outside the WorldMark",12,46.3474628,-124.0655256,2020
65,Sooty Shearwater,Ardenna grisea,2020-09-22 18:25,"Long Beach, not far outside the WorldMark",2,46.3474628,-124.0655256,2020
66,Brandt's Cormorant,Phalacrocorax penicillatus,2020-09-22 18:25,"Long Beach, not far outside the WorldMark",2,46.3474628,-124.0655256,2020
67,Red-tailed Hawk,Buteo jamaicensis,2020-09-22 18:20,"Whitworth University, Spokane US-WA 47.75468, -117.41376",1,47.754683,-117.413756,2020
68,American Coot,Fulica americana,2020-09-22 18:16,Union Gap Costco Pond,5,46.5618124,-120.4970384,2020
69,Pied-billed Grebe,Podilymbus podiceps,2020-09-22 18:12,Olympia--Black Lake,1,46.994,-122.978,2020
70,Horned Grebe,Podiceps auritus,2020-09-22 18:12,Olympia--Black Lake,2,46.994,-122.978,2020
71,Bonaparte's Gull,Chroicocephalus philadelphia,2020-09-22 18:12,Olympia--Black Lake,1,46.994,-122.978,2020
72,Osprey,Pandion haliaetus,2020-09-22 18:12,Olympia--Black Lake,1,46.994,-122.978,2020
73,Western/Glaucous-winged Gull,Larus occidentalis/glaucescens,2020-09-22 18:06,Seattle--Broadview yard,4,47.726486,-122.3613238,2020
74,House Finch,Haemorhous mexicanus,2020-09-22 18:06,Seattle--Broadview yard,6,47.726486,-122.3613238,2020
75,Pelagic Cormorant,Phalacrocorax pelagicus,2020-09-22 18:00,"Marine Park, Bellingham",3,48.719177,-122.515797,2020
76,Turkey Vulture,Cathartes aura,2020-09-22 17:58,"98926, Ellensburg US-WA 47.11990, -120.38451",2,47.119904,-120.384513,2020
77,White-breasted Nuthatch,Sitta carolinensis,2020-09-22 17:58,"98926, Ellensburg US-WA 47.11990, -120.38451",1,47.119904,-120.384513,2020
78,American Pipit,Anthus rubescens,2020-09-22 17:58,"98926, Ellensburg US-WA 47.11990, -120.38451",1,47.119904,-120.384513,2020
79,Ruby-crowned Kinglet,Regulus calendula,2020-09-22 17:57,Home,1,46.613484,-120.431504,2020
80,Ring-billed Gull,Larus delawarensis,2020-09-22 17:54,"Nisqually National Wildlife Refuge, Olympia US-WA 47.08148, -122.71808",1,47.081481,-122.718078,2020
81,Bald Eagle,Haliaeetus leucocephalus,2020-09-22 17:54,"Nisqually National Wildlife Refuge, Olympia US-WA 47.08148, -122.71808",1,47.081481,-122.718078,2020
82,Peregrine Falcon,Falco peregrinus,2020-09-22 17:54,"Nisqually National Wildlife Refuge, Olympia US-WA 47.08148, -122.71808",1,47.081481,-122.718078,2020
