,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,Year,State
0,Barred Owl,Strix varia,2020-09-26 23:10,5619 Dogwood Forest Drive,1,37.3659108,-76.5505511,2020,US-VA
1,Great Horned Owl,Bubo virginianus,2020-09-26 22:55,22491 Forest Manor Drive (Yard),2,38.9947298,-77.520268,2020,US-VA
2,Eastern Screech-Owl,Megascops asio,2020-09-26 22:52,"1413 Hillcrest Dr, Blacksburg US-VA 37.21839, -80.39294",1,37.218386,-80.392936,2020,US-VA
3,Killdeer,Charadrius vociferus,2020-09-26 22:24,Shenwood Ave,1,38.8680901,-78.5046828,2020,US-VA
4,Canada Goose,Branta canadensis,2020-09-26 21:22,"300 Westminster Canterbury Drive (Private), Winchester, Virginia, US (39.201, -78.174)",2,39.2005256,-78.1743037,2020,US-VA
5,Brown Thrasher,Toxostoma rufum,2020-09-26 20:00,Pleasure House Point Natural Area,1,36.903226,-76.0994303,2020,US-VA
6,Mallard,Anas platyrhynchos,2020-09-26 19:24,"192 Alleghany Drive, McGaheysville, Virginia, US (38.398, -78.716)",6,38.3978957,-78.7160027,2020,US-VA
7,Semipalmated Plover,Charadrius semipalmatus,2020-09-26 19:09,Chincoteague NWR--Toms Cove,31,37.8774164,-75.3553805,2020,US-VA
8,Ruddy Turnstone,Arenaria interpres,2020-09-26 19:09,Chincoteague NWR--Toms Cove,2,37.8774164,-75.3553805,2020,US-VA
9,Bald Eagle,Haliaeetus leucocephalus,2020-09-26 19:03,tenth legion Va,1,38.6318909,-78.6902618,2020,US-VA
10,Common Nighthawk,Chordeiles minor,2020-09-26 19:00,Fort Lynne Road,8,38.4880176,-78.88969,2020,US-VA
11,Cooper's Hawk,Accipiter cooperii,2020-09-26 18:50,Price Park,1,37.2008278,-80.4809582,2020,US-VA
12,Eastern Phoebe,Sayornis phoebe,2020-09-26 18:50,Price Park,1,37.2008278,-80.4809582,2020,US-VA
13,Blue Jay,Cyanocitta cristata,2020-09-26 18:50,Price Park,3,37.2008278,-80.4809582,2020,US-VA
14,swallow sp.,Hirundinidae sp.,2020-09-26 18:50,Price Park,20,37.2008278,-80.4809582,2020,US-VA
15,Carolina Wren,Thryothorus ludovicianus,2020-09-26 18:50,Price Park,4,37.2008278,-80.4809582,2020,US-VA
16,Gray Catbird,Dumetella carolinensis,2020-09-26 18:50,Price Park,3,37.2008278,-80.4809582,2020,US-VA
17,American Robin,Turdus migratorius,2020-09-26 18:50,Price Park,2,37.2008278,-80.4809582,2020,US-VA
18,Northern Cardinal,Cardinalis cardinalis,2020-09-26 18:50,Price Park,4,37.2008278,-80.4809582,2020,US-VA
19,Merlin,Falco columbarius,2020-09-26 18:48,"2061–2193 Harper's Rd, Virginia Beach US-VA 36.78942, -76.03670",1,36.78942,-76.036701,2020,US-VA
20,Red-tailed Hawk,Buteo jamaicensis,2020-09-26 18:47,"40151 U.S. 50, Aldie, Virginia, US (38.966, -77.614)",1,38.9657624,-77.6137802,2020,US-VA
